fn_37_0 = .text:0x00000000; // type:function size:0x7AC data:2byte
lbl_37_rodata_5914 = .rodata:0x00005914; // type:object size:0x4 data:float
lbl_37_rodata_5918 = .rodata:0x00005918; // type:object size:0x4 data:float
lbl_37_rodata_591C = .rodata:0x0000591C; // type:object size:0x4 data:float
lbl_37_rodata_5920 = .rodata:0x00005920; // type:object size:0x4 data:float
lbl_37_rodata_5924 = .rodata:0x00005924; // type:object size:0x4 data:float
lbl_37_rodata_5928 = .rodata:0x00005928; // type:object size:0x4 data:float
lbl_37_rodata_592C = .rodata:0x0000592C; // type:object size:0x4 data:float
lbl_37_rodata_5930 = .rodata:0x00005930; // type:object size:0x4 data:float
lbl_37_rodata_5934 = .rodata:0x00005934; // type:object size:0x4 data:float
lbl_37_rodata_5938 = .rodata:0x00005938; // type:object size:0x8 data:double
lbl_37_rodata_5940 = .rodata:0x00005940; // type:object size:0x4 data:float
lbl_37_rodata_5948 = .rodata:0x00005948; // type:object size:0x8 data:double
lbl_37_rodata_5950 = .rodata:0x00005950; // type:object size:0x8 data:double
lbl_37_rodata_5958 = .rodata:0x00005958; // type:object size:0x4 data:float
lbl_37_rodata_595C = .rodata:0x0000595C; // type:object size:0x4 data:float
lbl_37_rodata_5960 = .rodata:0x00005960; // type:object size:0x4 data:float
lbl_37_rodata_5964 = .rodata:0x00005964; // type:object size:0x4 data:float
lbl_37_rodata_5968 = .rodata:0x00005968; // type:object size:0x4 data:float
lbl_37_rodata_596C = .rodata:0x0000596C; // type:object size:0x4 data:float
lbl_37_rodata_5970 = .rodata:0x00005970; // type:object size:0x8 data:double
lbl_37_rodata_5978 = .rodata:0x00005978; // type:object size:0x4 data:float
lbl_37_rodata_597C = .rodata:0x0000597C; // type:object size:0x4 data:float
lbl_37_rodata_5980 = .rodata:0x00005980; // type:object size:0x4 data:float
lbl_37_rodata_5988 = .rodata:0x00005988; // type:object size:0x8 data:double
lbl_37_rodata_5990 = .rodata:0x00005990; // type:object size:0x4 data:float
lbl_37_rodata_5994 = .rodata:0x00005994; // type:object size:0x4 data:float
lbl_37_rodata_5998 = .rodata:0x00005998; // type:object size:0x4 data:float
lbl_37_rodata_599C = .rodata:0x0000599C; // type:object size:0x4 data:float
lbl_37_rodata_59A0 = .rodata:0x000059A0; // type:object size:0x8 data:double
lbl_37_rodata_59A8 = .rodata:0x000059A8; // type:object size:0x4 data:float
lbl_37_rodata_59AC = .rodata:0x000059AC; // type:object size:0x4 data:float
lbl_37_rodata_59B0 = .rodata:0x000059B0; // type:object size:0x4 data:float
lbl_37_rodata_59B4 = .rodata:0x000059B4; // type:object size:0x4 data:float
lbl_37_rodata_59B8 = .rodata:0x000059B8; // type:object size:0x4 data:float
lbl_37_rodata_59BC = .rodata:0x000059BC; // type:object size:0x4 data:float
lbl_37_rodata_59C0 = .rodata:0x000059C0; // type:object size:0x4 data:float
lbl_37_rodata_59C4 = .rodata:0x000059C4; // type:object size:0x4 data:float
lbl_37_rodata_59C8 = .rodata:0x000059C8; // type:object size:0x8 data:float
lbl_37_rodata_59D0 = .rodata:0x000059D0; // type:object size:0x4 data:float
lbl_37_rodata_59D4 = .rodata:0x000059D4; // type:object size:0x4 data:float
lbl_37_rodata_59D8 = .rodata:0x000059D8; // type:object size:0x4 data:float
lbl_37_rodata_59DC = .rodata:0x000059DC; // type:object size:0x4 data:float
lbl_37_rodata_59E0 = .rodata:0x000059E0; // type:object size:0x4 data:float
lbl_37_rodata_59E4 = .rodata:0x000059E4; // type:object size:0x4 data:float
lbl_37_rodata_59E8 = .rodata:0x000059E8; // type:object size:0x4 data:float
lbl_37_rodata_59EC = .rodata:0x000059EC; // type:object size:0x4 data:float
lbl_37_rodata_59F0 = .rodata:0x000059F0; // type:object size:0x4 data:float
lbl_37_rodata_59F8 = .rodata:0x000059F8; // type:object size:0x8 data:double
lbl_37_rodata_5A00 = .rodata:0x00005A00; // type:object size:0x4 data:float
lbl_37_rodata_5A04 = .rodata:0x00005A04; // type:object size:0x4 data:float
lbl_37_rodata_5A08 = .rodata:0x00005A08; // type:object size:0x4 data:float
lbl_37_rodata_5A0C = .rodata:0x00005A0C; // type:object size:0x4 data:float
lbl_37_rodata_5A10 = .rodata:0x00005A10; // type:object size:0x8 data:double
lbl_37_rodata_5A18 = .rodata:0x00005A18; // type:object size:0x8 data:double
lbl_37_rodata_5A20 = .rodata:0x00005A20; // type:object size:0x4 data:float
lbl_37_rodata_5A24 = .rodata:0x00005A24; // type:object size:0x4 data:float
lbl_37_rodata_5A28 = .rodata:0x00005A28; // type:object size:0x4 data:float
lbl_37_rodata_5A2C = .rodata:0x00005A2C; // type:object size:0x4 data:float
lbl_37_rodata_5A30 = .rodata:0x00005A30; // type:object size:0x8 data:double
lbl_37_rodata_5A38 = .rodata:0x00005A38; // type:object size:0x8 data:float
lbl_37_rodata_5A40 = .rodata:0x00005A40; // type:object size:0x4 data:float
lbl_37_rodata_5A44 = .rodata:0x00005A44; // type:object size:0x4 data:float
lbl_37_rodata_5A48 = .rodata:0x00005A48; // type:object size:0x4 data:float
lbl_37_rodata_5A4C = .rodata:0x00005A4C; // type:object size:0x4 data:float
lbl_37_rodata_5A50 = .rodata:0x00005A50; // type:object size:0x4 data:float
lbl_37_rodata_5A54 = .rodata:0x00005A54; // type:object size:0x4 data:float
lbl_37_rodata_5A58 = .rodata:0x00005A58; // type:object size:0x8 data:double
lbl_37_rodata_5A60 = .rodata:0x00005A60; // type:object size:0x4 data:float
lbl_37_rodata_5A64 = .rodata:0x00005A64; // type:object size:0x4 data:float
lbl_37_rodata_5A68 = .rodata:0x00005A68; // type:object size:0x8 data:double
lbl_37_rodata_5A70 = .rodata:0x00005A70; // type:object size:0x8 data:double
lbl_37_rodata_5A78 = .rodata:0x00005A78; // type:object size:0x4 data:float
lbl_37_rodata_5A7C = .rodata:0x00005A7C; // type:object size:0x4 data:float
lbl_37_rodata_5A80 = .rodata:0x00005A80; // type:object size:0x8 data:float
lbl_37_rodata_5A88 = .rodata:0x00005A88; // type:object size:0x4 data:float
lbl_37_rodata_5A8C = .rodata:0x00005A8C; // type:object size:0x4 data:float
lbl_37_rodata_5A90 = .rodata:0x00005A90; // type:object size:0x4 data:float
lbl_37_rodata_5A98 = .rodata:0x00005A98; // type:object size:0x8 data:double
lbl_37_rodata_5AA0 = .rodata:0x00005AA0; // type:object size:0x4 data:float
lbl_37_rodata_5AA4 = .rodata:0x00005AA4; // type:object size:0x4 data:float
lbl_37_rodata_5AA8 = .rodata:0x00005AA8; // type:object size:0x4 data:float
lbl_37_rodata_5AAC = .rodata:0x00005AAC; // type:object size:0x4 data:float
lbl_37_rodata_5AB0 = .rodata:0x00005AB0; // type:object size:0x4 data:float
lbl_37_rodata_5AB4 = .rodata:0x00005AB4; // type:object size:0x4 data:float
lbl_37_rodata_5AB8 = .rodata:0x00005AB8; // type:object size:0x4 data:float
lbl_37_rodata_5ABC = .rodata:0x00005ABC; // type:object size:0x4 data:float
lbl_37_rodata_5AC0 = .rodata:0x00005AC0; // type:object size:0x4 data:float
lbl_37_rodata_5AC8 = .rodata:0x00005AC8; // type:object size:0x8 data:double
lbl_37_rodata_5AD0 = .rodata:0x00005AD0; // type:object size:0x4 data:float
lbl_37_rodata_5AD4 = .rodata:0x00005AD4; // type:object size:0x4 data:float
lbl_37_rodata_5AD8 = .rodata:0x00005AD8; // type:object size:0x4 data:float
lbl_37_rodata_5ADC = .rodata:0x00005ADC; // type:object size:0x4 data:float
lbl_37_rodata_5AE0 = .rodata:0x00005AE0; // type:object size:0x4 data:float
lbl_37_rodata_5AE4 = .rodata:0x00005AE4; // type:object size:0x4 data:float
lbl_37_rodata_5AE8 = .rodata:0x00005AE8; // type:object size:0x4 data:float
lbl_37_rodata_5AEC = .rodata:0x00005AEC; // type:object size:0x4 data:float
lbl_37_rodata_5AF0 = .rodata:0x00005AF0; // type:object size:0x4 data:float
lbl_37_rodata_5AF4 = .rodata:0x00005AF4; // type:object size:0x4 data:float
lbl_37_rodata_5AF8 = .rodata:0x00005AF8; // type:object size:0x4 data:float
lbl_37_rodata_5AFC = .rodata:0x00005AFC; // type:object size:0x4 data:float
lbl_37_rodata_5B00 = .rodata:0x00005B00; // type:object size:0x4 data:float
lbl_37_rodata_5B04 = .rodata:0x00005B04; // type:object size:0x4 data:float
lbl_37_rodata_5B08 = .rodata:0x00005B08; // type:object size:0x4 data:float
lbl_37_rodata_5B0C = .rodata:0x00005B0C; // type:object size:0x4 data:float
lbl_37_rodata_5B10 = .rodata:0x00005B10; // type:object size:0x4 data:float
lbl_37_rodata_5B18 = .rodata:0x00005B18; // type:object size:0x8 data:double
lbl_37_rodata_5B20 = .rodata:0x00005B20; // type:object size:0x4 data:float
lbl_37_rodata_5B24 = .rodata:0x00005B24; // type:object size:0x4 data:float
lbl_37_rodata_5B28 = .rodata:0x00005B28; // type:object size:0x4 data:float
lbl_37_rodata_5B30 = .rodata:0x00005B30; // type:object size:0x8 data:double
lbl_37_rodata_5B38 = .rodata:0x00005B38; // type:object size:0x4 data:float
lbl_37_rodata_5B3C = .rodata:0x00005B3C; // type:object size:0x4 data:float
lbl_37_rodata_5B40 = .rodata:0x00005B40; // type:object size:0x4 data:float
lbl_37_rodata_5B48 = .rodata:0x00005B48; // type:object size:0x8 data:double
lbl_37_rodata_5B50 = .rodata:0x00005B50; // type:object size:0x8 data:double
lbl_37_rodata_5B58 = .rodata:0x00005B58; // type:object size:0x4 data:float
lbl_37_rodata_5B5C = .rodata:0x00005B5C; // type:object size:0x4 data:float
lbl_37_rodata_5B60 = .rodata:0x00005B60; // type:object size:0x4 data:float
lbl_37_rodata_5B64 = .rodata:0x00005B64; // type:object size:0x4 data:float
lbl_37_rodata_5B68 = .rodata:0x00005B68; // type:object size:0x4 data:float
lbl_37_rodata_5B70 = .rodata:0x00005B70; // type:object size:0x8 data:double
lbl_37_rodata_5B78 = .rodata:0x00005B78; // type:object size:0x4 data:float
lbl_37_rodata_5B80 = .rodata:0x00005B80; // type:object size:0x8 data:double
lbl_37_rodata_5B88 = .rodata:0x00005B88; // type:object size:0x4 data:float
lbl_37_rodata_5B8C = .rodata:0x00005B8C; // type:object size:0x4 data:float
lbl_37_rodata_5B90 = .rodata:0x00005B90; // type:object size:0x4 data:float
lbl_37_rodata_5B94 = .rodata:0x00005B94; // type:object size:0x4 data:float
lbl_37_rodata_5B98 = .rodata:0x00005B98; // type:object size:0x4 data:float
lbl_37_rodata_5B9C = .rodata:0x00005B9C; // type:object size:0x4 data:float
lbl_37_rodata_5BA0 = .rodata:0x00005BA0; // type:object size:0x4 data:float
lbl_37_rodata_5BA4 = .rodata:0x00005BA4; // type:object size:0x4 data:float
lbl_37_rodata_5BA8 = .rodata:0x00005BA8; // type:object size:0x4 data:float
lbl_37_rodata_5BAC = .rodata:0x00005BAC; // type:object size:0x4 data:float
lbl_37_rodata_5BB0 = .rodata:0x00005BB0; // type:object size:0x8 data:double
lbl_37_rodata_5BB8 = .rodata:0x00005BB8; // type:object size:0x4 data:float
lbl_37_rodata_5BBC = .rodata:0x00005BBC; // type:object size:0x4 data:float
lbl_37_rodata_5BC0 = .rodata:0x00005BC0; // type:object size:0x4 data:float
lbl_37_rodata_5BC4 = .rodata:0x00005BC4; // type:object size:0x4 data:float
lbl_37_rodata_5BC8 = .rodata:0x00005BC8; // type:object size:0x8 data:double
lbl_37_rodata_5BD0 = .rodata:0x00005BD0; // type:object size:0x8 data:double
lbl_37_rodata_5BD8 = .rodata:0x00005BD8; // type:object size:0x4 data:float
lbl_37_rodata_5BDC = .rodata:0x00005BDC; // type:object size:0x4 data:float
lbl_37_rodata_5BE0 = .rodata:0x00005BE0; // type:object size:0x4 data:float
lbl_37_rodata_5BE4 = .rodata:0x00005BE4; // type:object size:0x4 data:float
lbl_37_rodata_5BE8 = .rodata:0x00005BE8; // type:object size:0x4 data:float
lbl_37_rodata_5BF0 = .rodata:0x00005BF0; // type:object size:0x8 data:double
lbl_37_rodata_5BF8 = .rodata:0x00005BF8; // type:object size:0x4 data:float
lbl_37_rodata_5BFC = .rodata:0x00005BFC; // type:object size:0x4 data:float
lbl_37_rodata_5C00 = .rodata:0x00005C00; // type:object size:0x4 data:float
lbl_37_rodata_5C04 = .rodata:0x00005C04; // type:object size:0x4 data:float
lbl_37_rodata_5C08 = .rodata:0x00005C08; // type:object size:0x8 data:double
lbl_37_rodata_5C10 = .rodata:0x00005C10; // type:object size:0x4 data:float
lbl_37_rodata_5C14 = .rodata:0x00005C14; // type:object size:0x4 data:float
lbl_37_rodata_5C18 = .rodata:0x00005C18; // type:object size:0x4 data:float
lbl_37_rodata_5C1C = .rodata:0x00005C1C; // type:object size:0x4 data:float
lbl_37_rodata_5C20 = .rodata:0x00005C20; // type:object size:0x4 data:float
lbl_37_rodata_5C24 = .rodata:0x00005C24; // type:object size:0x4 data:float
lbl_37_rodata_5C28 = .rodata:0x00005C28; // type:object size:0x4 data:float
lbl_37_rodata_5C2C = .rodata:0x00005C2C; // type:object size:0x4 data:float
lbl_37_rodata_5C30 = .rodata:0x00005C30; // type:object size:0x4 data:float
lbl_37_rodata_5C34 = .rodata:0x00005C34; // type:object size:0x4 data:float
lbl_37_rodata_5C38 = .rodata:0x00005C38; // type:object size:0x4 data:float
lbl_37_rodata_5C40 = .rodata:0x00005C40; // type:object size:0x8 data:double
lbl_37_rodata_5C48 = .rodata:0x00005C48; // type:object size:0xC data:4byte
lbl_37_rodata_5C54 = .rodata:0x00005C54; // type:object size:0x4 data:float
lbl_37_rodata_5C58 = .rodata:0x00005C58; // type:object size:0x4 data:float
lbl_37_rodata_5C5C = .rodata:0x00005C5C; // type:object size:0x4 data:float
lbl_37_rodata_5C60 = .rodata:0x00005C60; // type:object size:0x8 data:double
lbl_37_rodata_5C68 = .rodata:0x00005C68; // type:object size:0x4 data:float
lbl_37_rodata_5C6C = .rodata:0x00005C6C; // type:object size:0x4 data:float
lbl_37_rodata_5C70 = .rodata:0x00005C70; // type:object size:0x4 data:float
lbl_37_rodata_5C74 = .rodata:0x00005C74; // type:object size:0x4 data:float
lbl_37_rodata_5C78 = .rodata:0x00005C78; // type:object size:0x4 data:float
lbl_37_rodata_5C80 = .rodata:0x00005C80; // type:object size:0x8 data:double
lbl_37_rodata_5C88 = .rodata:0x00005C88; // type:object size:0x4 data:float
lbl_37_rodata_5C8C = .rodata:0x00005C8C; // type:object size:0x4 data:float
lbl_37_rodata_5C90 = .rodata:0x00005C90; // type:object size:0x4 data:float
lbl_37_rodata_5C94 = .rodata:0x00005C94; // type:object size:0x4 data:float
lbl_37_rodata_5C98 = .rodata:0x00005C98; // type:object size:0x4 data:float
lbl_37_rodata_5C9C = .rodata:0x00005C9C; // type:object size:0x4 data:float
lbl_37_rodata_5CA0 = .rodata:0x00005CA0; // type:object size:0x4 data:float
lbl_37_rodata_5CA4 = .rodata:0x00005CA4; // type:object size:0x4 data:float
lbl_37_rodata_5CA8 = .rodata:0x00005CA8; // type:object size:0x4 data:float
lbl_37_rodata_5CAC = .rodata:0x00005CAC; // type:object size:0x4 data:float
lbl_37_rodata_5CB0 = .rodata:0x00005CB0; // type:object size:0x4 data:float
lbl_37_rodata_5CB4 = .rodata:0x00005CB4; // type:object size:0x4 data:float
lbl_37_rodata_5CB8 = .rodata:0x00005CB8; // type:object size:0xC data:4byte
lbl_37_rodata_5CC4 = .rodata:0x00005CC4; // type:object size:0x4 data:float
lbl_37_rodata_5CC8 = .rodata:0x00005CC8; // type:object size:0x4 data:float
lbl_37_rodata_5CCC = .rodata:0x00005CCC; // type:object size:0x4 data:float
lbl_37_rodata_5CD0 = .rodata:0x00005CD0; // type:object size:0x8 data:double
lbl_37_rodata_5CD8 = .rodata:0x00005CD8; // type:object size:0x8 data:double
lbl_37_rodata_5CE0 = .rodata:0x00005CE0; // type:object size:0x8 data:double
lbl_37_rodata_5CE8 = .rodata:0x00005CE8; // type:object size:0x4 data:float
lbl_37_rodata_5CEC = .rodata:0x00005CEC; // type:object size:0x4 data:float
lbl_37_rodata_5CF0 = .rodata:0x00005CF0; // type:object size:0x4 data:float
lbl_37_rodata_5CF4 = .rodata:0x00005CF4; // type:object size:0x4 data:float
lbl_37_rodata_5CF8 = .rodata:0x00005CF8; // type:object size:0x4 data:float
lbl_37_rodata_5CFC = .rodata:0x00005CFC; // type:object size:0x4 data:float
lbl_37_rodata_5D00 = .rodata:0x00005D00; // type:object size:0x4 data:float
lbl_37_rodata_5D04 = .rodata:0x00005D04; // type:object size:0x4 data:float
lbl_37_rodata_5D08 = .rodata:0x00005D08; // type:object size:0x4 data:float
lbl_37_rodata_5D0C = .rodata:0x00005D0C; // type:object size:0x4 data:float
lbl_37_rodata_5D10 = .rodata:0x00005D10; // type:object size:0x4 data:float
lbl_37_rodata_5D18 = .rodata:0x00005D18; // type:object size:0x8 data:double
lbl_37_rodata_5D20 = .rodata:0x00005D20; // type:object size:0x8 data:double
lbl_37_rodata_5D28 = .rodata:0x00005D28; // type:object size:0x4 data:float
lbl_37_rodata_5D2C = .rodata:0x00005D2C; // type:object size:0x4 data:float
lbl_37_rodata_5D30 = .rodata:0x00005D30; // type:object size:0x4 data:float
lbl_37_rodata_5D34 = .rodata:0x00005D34; // type:object size:0x4 data:float
lbl_37_rodata_5D38 = .rodata:0x00005D38; // type:object size:0x4 data:float
lbl_37_rodata_5D3C = .rodata:0x00005D3C; // type:object size:0x4 data:float
lbl_37_rodata_5D40 = .rodata:0x00005D40; // type:object size:0x8 data:float
lbl_37_rodata_5D48 = .rodata:0x00005D48; // type:object size:0x4 data:float
lbl_37_rodata_5D4C = .rodata:0x00005D4C; // type:object size:0x4 data:float
lbl_37_rodata_5D50 = .rodata:0x00005D50; // type:object size:0x4 data:float
lbl_37_rodata_5D54 = .rodata:0x00005D54; // type:object size:0x4 data:float
lbl_37_rodata_5D58 = .rodata:0x00005D58; // type:object size:0x8 data:double
lbl_37_rodata_5D60 = .rodata:0x00005D60; // type:object size:0x4 data:float
lbl_37_rodata_5D64 = .rodata:0x00005D64; // type:object size:0x4 data:float
lbl_37_rodata_5D68 = .rodata:0x00005D68; // type:object size:0x4 data:float
lbl_37_rodata_5D6C = .rodata:0x00005D6C; // type:object size:0x4 data:float
lbl_37_rodata_5D70 = .rodata:0x00005D70; // type:object size:0x4 data:float
lbl_37_rodata_5D74 = .rodata:0x00005D74; // type:object size:0x4 data:float
lbl_37_rodata_5D78 = .rodata:0x00005D78; // type:object size:0x8 data:double
lbl_37_rodata_5D80 = .rodata:0x00005D80; // type:object size:0x4 data:float
lbl_37_rodata_5D84 = .rodata:0x00005D84; // type:object size:0x4 data:float
lbl_37_rodata_5D88 = .rodata:0x00005D88; // type:object size:0x4 data:float
lbl_37_rodata_5D8C = .rodata:0x00005D8C; // type:object size:0x4 data:float
lbl_37_rodata_5D90 = .rodata:0x00005D90; // type:object size:0x4 data:float
lbl_37_rodata_5D94 = .rodata:0x00005D94; // type:object size:0x4 data:float
lbl_37_rodata_5D98 = .rodata:0x00005D98; // type:object size:0x4 data:float
lbl_37_rodata_5D9C = .rodata:0x00005D9C; // type:object size:0x4 data:float
lbl_37_rodata_5DA0 = .rodata:0x00005DA0; // type:object size:0x4 data:float
lbl_37_rodata_5DA8 = .rodata:0x00005DA8; // type:object size:0x8 data:double
lbl_37_rodata_5DB0 = .rodata:0x00005DB0; // type:object size:0x8 data:double
lbl_37_rodata_5DB8 = .rodata:0x00005DB8; // type:object size:0x4 data:float
lbl_37_rodata_5DBC = .rodata:0x00005DBC; // type:object size:0x4 data:float
lbl_37_rodata_5DC0 = .rodata:0x00005DC0; // type:object size:0x4 data:float
lbl_37_rodata_5DC4 = .rodata:0x00005DC4; // type:object size:0x4 data:float
lbl_37_rodata_5DC8 = .rodata:0x00005DC8; // type:object size:0x4 data:float
lbl_37_rodata_5DCC = .rodata:0x00005DCC; // type:object size:0x4 data:float
lbl_37_rodata_5DD0 = .rodata:0x00005DD0; // type:object size:0x4 data:float
lbl_37_rodata_5DD8 = .rodata:0x00005DD8; // type:object size:0x8 data:double
lbl_37_rodata_5DE0 = .rodata:0x00005DE0; // type:object size:0x4 data:float
lbl_37_rodata_5DE8 = .rodata:0x00005DE8; // type:object size:0x8 data:double
lbl_37_rodata_5DF0 = .rodata:0x00005DF0; // type:object size:0x4 data:float
lbl_37_rodata_5DF4 = .rodata:0x00005DF4; // type:object size:0x4 data:float
lbl_37_rodata_5DF8 = .rodata:0x00005DF8; // type:object size:0x8 data:double
lbl_37_rodata_5E00 = .rodata:0x00005E00; // type:object size:0x4 data:float
lbl_37_rodata_5E04 = .rodata:0x00005E04; // type:object size:0x4 data:float
lbl_37_rodata_5E08 = .rodata:0x00005E08; // type:object size:0x4 data:float
lbl_37_rodata_5E0C = .rodata:0x00005E0C; // type:object size:0x4 data:float
lbl_37_rodata_5E10 = .rodata:0x00005E10; // type:object size:0x4 data:float
lbl_37_rodata_5E14 = .rodata:0x00005E14; // type:object size:0x4 data:float
lbl_37_rodata_5E18 = .rodata:0x00005E18; // type:object size:0x4 data:float
lbl_37_rodata_5E1C = .rodata:0x00005E1C; // type:object size:0x4 data:float
lbl_37_rodata_5E20 = .rodata:0x00005E20; // type:object size:0x8 data:double
lbl_37_rodata_5E28 = .rodata:0x00005E28; // type:object size:0x4 data:float
lbl_37_rodata_5E2C = .rodata:0x00005E2C; // type:object size:0x4 data:float
lbl_37_rodata_5E30 = .rodata:0x00005E30; // type:object size:0x8 data:float
lbl_37_rodata_5E38 = .rodata:0x00005E38; // type:object size:0x4 data:float
lbl_37_rodata_5E40 = .rodata:0x00005E40; // type:object size:0x8 data:double
lbl_37_rodata_5E48 = .rodata:0x00005E48; // type:object size:0x8 data:double
lbl_37_rodata_5E50 = .rodata:0x00005E50; // type:object size:0x4 data:float
lbl_37_rodata_5E54 = .rodata:0x00005E54; // type:object size:0x4 data:float
lbl_37_rodata_5E58 = .rodata:0x00005E58; // type:object size:0x4 data:float
lbl_37_rodata_5E5C = .rodata:0x00005E5C; // type:object size:0x4 data:float
lbl_37_rodata_5E60 = .rodata:0x00005E60; // type:object size:0x4 data:float
lbl_37_rodata_5E64 = .rodata:0x00005E64; // type:object size:0x4 data:float
lbl_37_rodata_5E68 = .rodata:0x00005E68; // type:object size:0x4 data:float
lbl_37_rodata_5E6C = .rodata:0x00005E6C; // type:object size:0x4 data:float
lbl_37_rodata_5E70 = .rodata:0x00005E70; // type:object size:0x4 data:float
lbl_37_rodata_5E78 = .rodata:0x00005E78; // type:object size:0x8 data:double
lbl_37_rodata_5E80 = .rodata:0x00005E80; // type:object size:0x4 data:float
lbl_37_rodata_5E84 = .rodata:0x00005E84; // type:object size:0x4 data:float
lbl_37_rodata_5E88 = .rodata:0x00005E88; // type:object size:0x8 data:float
lbl_37_rodata_5E90 = .rodata:0x00005E90; // type:object size:0x4 data:float
lbl_37_rodata_5E94 = .rodata:0x00005E94; // type:object size:0x4 data:float
lbl_37_rodata_5E98 = .rodata:0x00005E98; // type:object size:0x4 data:float
lbl_37_rodata_5E9C = .rodata:0x00005E9C; // type:object size:0x4 data:float
lbl_37_rodata_5EA0 = .rodata:0x00005EA0; // type:object size:0x4 data:float
lbl_37_rodata_5EA4 = .rodata:0x00005EA4; // type:object size:0x4 data:float
lbl_37_rodata_5EA8 = .rodata:0x00005EA8; // type:object size:0x4 data:float
lbl_37_rodata_5EAC = .rodata:0x00005EAC; // type:object size:0x4 data:float
lbl_37_rodata_5EB0 = .rodata:0x00005EB0; // type:object size:0x4 data:float
lbl_37_rodata_5EB4 = .rodata:0x00005EB4; // type:object size:0x4 data:float
lbl_37_rodata_5EB8 = .rodata:0x00005EB8; // type:object size:0x8 data:double
lbl_37_rodata_5EC0 = .rodata:0x00005EC0; // type:object size:0x8 data:double
lbl_37_rodata_5EC8 = .rodata:0x00005EC8; // type:object size:0x4 data:float
lbl_37_rodata_5ECC = .rodata:0x00005ECC; // type:object size:0x4 data:float
lbl_37_rodata_5ED0 = .rodata:0x00005ED0; // type:object size:0x8 data:double
lbl_37_rodata_5ED8 = .rodata:0x00005ED8; // type:object size:0x4 data:float
lbl_37_rodata_5EDC = .rodata:0x00005EDC; // type:object size:0x4 data:float
lbl_37_rodata_5EE0 = .rodata:0x00005EE0; // type:object size:0x4 data:float
lbl_37_rodata_5EE4 = .rodata:0x00005EE4; // type:object size:0x4 data:float
lbl_37_rodata_5EE8 = .rodata:0x00005EE8; // type:object size:0x4 data:float
lbl_37_rodata_5EEC = .rodata:0x00005EEC; // type:object size:0x4 data:float
lbl_37_rodata_5EF0 = .rodata:0x00005EF0; // type:object size:0x4 data:float
lbl_37_rodata_5EF4 = .rodata:0x00005EF4; // type:object size:0x4 data:float
lbl_37_rodata_5EF8 = .rodata:0x00005EF8; // type:object size:0x8 data:double
lbl_37_rodata_5F00 = .rodata:0x00005F00; // type:object size:0x4 data:float
lbl_37_rodata_5F04 = .rodata:0x00005F04; // type:object size:0x4 data:float
lbl_37_rodata_5F08 = .rodata:0x00005F08; // type:object size:0x4 data:float
lbl_37_rodata_5F0C = .rodata:0x00005F0C; // type:object size:0x4 data:float
lbl_37_rodata_5F10 = .rodata:0x00005F10; // type:object size:0x4 data:float
lbl_37_rodata_5F14 = .rodata:0x00005F14; // type:object size:0x4 data:float
lbl_37_rodata_5F18 = .rodata:0x00005F18; // type:object size:0x8 data:double
lbl_37_rodata_5F20 = .rodata:0x00005F20; // type:object size:0x4 data:float
lbl_37_rodata_5F24 = .rodata:0x00005F24; // type:object size:0x4 data:float
lbl_37_rodata_5F28 = .rodata:0x00005F28; // type:object size:0x4 data:float
lbl_37_rodata_5F2C = .rodata:0x00005F2C; // type:object size:0x4 data:float
lbl_37_rodata_5F30 = .rodata:0x00005F30; // type:object size:0x4 data:float
lbl_37_rodata_5F34 = .rodata:0x00005F34; // type:object size:0x4 data:float
lbl_37_rodata_5F38 = .rodata:0x00005F38; // type:object size:0x4 data:float
lbl_37_rodata_5F3C = .rodata:0x00005F3C; // type:object size:0x4 data:float
lbl_37_rodata_5F40 = .rodata:0x00005F40; // type:object size:0x4 data:float
lbl_37_rodata_5F44 = .rodata:0x00005F44; // type:object size:0x4 data:float
lbl_37_rodata_5F48 = .rodata:0x00005F48; // type:object size:0x4 data:float
lbl_37_rodata_5F4C = .rodata:0x00005F4C; // type:object size:0x4 data:float
lbl_37_rodata_5F50 = .rodata:0x00005F50; // type:object size:0x4 data:float
lbl_37_rodata_5F54 = .rodata:0x00005F54; // type:object size:0x4 data:float
lbl_37_rodata_5F58 = .rodata:0x00005F58; // type:object size:0x4 data:float
lbl_37_rodata_5F5C = .rodata:0x00005F5C; // type:object size:0x4 data:float
lbl_37_rodata_5F60 = .rodata:0x00005F60; // type:object size:0x4 data:float
lbl_37_rodata_5F64 = .rodata:0x00005F64; // type:object size:0x4 data:float
lbl_37_rodata_5F68 = .rodata:0x00005F68; // type:object size:0x8 data:double
lbl_37_rodata_5F70 = .rodata:0x00005F70; // type:object size:0x4 data:float
lbl_37_rodata_5F74 = .rodata:0x00005F74; // type:object size:0x4 data:float
lbl_37_rodata_5F78 = .rodata:0x00005F78; // type:object size:0x4 data:float
lbl_37_rodata_5F7C = .rodata:0x00005F7C; // type:object size:0x4 data:float
lbl_37_rodata_5F80 = .rodata:0x00005F80; // type:object size:0x4 data:float
lbl_37_rodata_5F88 = .rodata:0x00005F88; // type:object size:0x8 data:double
lbl_37_rodata_5F90 = .rodata:0x00005F90; // type:object size:0x4 data:float
lbl_37_rodata_5F94 = .rodata:0x00005F94; // type:object size:0x4 data:float
lbl_37_rodata_5F98 = .rodata:0x00005F98; // type:object size:0x4 data:float
